# model name mirror
relational postgres https://github.com/postgres/postgres.git
relational mysql https://gitee.com/yinchengwang_admin/mysql-server.git
relational sqlite3 https://github.com/sqlite/sqlite.git
relational openGauss https://gitee.com/opengauss/openGauss-server.git
key-value redis https://gitee.com/yinchengwang_admin/redis.git
search elasticsearch https://gitee.com/yinchengwang_admin/elasticsearch.git
vector chroma https://github.com/chroma-core/chroma.git
vector milvus https://github.com/milvus-io/milvus.git
vector faiss https://gitee.com/yinchengwang_admin/faiss.git
graph neo4j https://github.com/neo4j/neo4j.git
extension pgvector https://gitee.com/yinchengwang_admin/pgvector.git
benchmark ann-benchmarks https://gitee.com/yinchengwang_admin/ann-benchmarks.git
relational mariadb https://github.com/MariaDB/server.git
relational firebird https://github.com/FirebirdSQL/firebird.git
relational h2 https://github.com/h2database/h2database.git
distributed-sql cockroachdb https://github.com/cockroachdb/cockroach.git
distributed-sql tidb https://github.com/pingcap/tidb.git
distributed-sql yugabytedb https://github.com/yugabyte/yugabyte-db.git
distributed-sql oceanbase https://github.com/oceanbase/oceanbase.git
key-value rocksdb https://github.com/facebook/rocksdb.git
key-value leveldb https://github.com/google/leveldb.git
key-value foundationdb https://github.com/apple/foundationdb.git
key-value badger https://github.com/dgraph-io/badger.git
key-value pebble https://github.com/cockroachdb/pebble.git
key-value dragonfly https://github.com/dragonflydb/dragonfly.git
document mongodb https://github.com/mongodb/mongo.git
document couchdb https://github.com/apache/couchdb.git
document couchbase https://github.com/couchbase/server.git
document ravendb https://github.com/ravendb/ravendb.git
document ferretdb https://github.com/FerretDB/FerretDB.git
columnar clickhouse https://github.com/ClickHouse/ClickHouse.git
columnar doris https://github.com/apache/doris.git
columnar starrocks https://github.com/StarRocks/starrocks.git
columnar pinot https://github.com/apache/pinot.git
columnar druid https://github.com/apache/druid.git
time-series influxdb https://github.com/influxdata/influxdb.git
time-series victoriametrics https://github.com/VictoriaMetrics/VictoriaMetrics.git
time-series questdb https://github.com/questdb/questdb.git
time-series tdengine https://github.com/taosdata/TDengine.git
time-series iotdb https://github.com/apache/iotdb.git
search opensearch https://github.com/opensearch-project/OpenSearch.git
search meilisearch https://github.com/meilisearch/meilisearch.git
search typesense https://github.com/typesense/typesense.git
search tantivy https://github.com/quickwit-oss/tantivy.git
search quickwit https://github.com/quickwit-oss/quickwit.git
vector qdrant https://github.com/qdrant/qdrant.git
vector weaviate https://github.com/weaviate/weaviate.git
vector vespa https://github.com/vespa-engine/vespa.git
vector lancedb https://github.com/lancedb/lancedb.git
vector vald https://github.com/vdaas/vald.git
vector usearch https://github.com/unum-cloud/usearch.git
graph arangodb https://github.com/arangodb/arangodb.git
graph janusgraph https://github.com/JanusGraph/janusgraph.git
graph nebula https://github.com/vesoft-inc/nebula.git
graph memgraph https://github.com/memgraph/memgraph.git
graph kuzu https://github.com/kuzudb/kuzu.git
stream kafka https://github.com/apache/kafka.git
stream redpanda https://github.com/redpanda-data/redpanda.git
stream pulsar https://github.com/apache/pulsar.git
stream nats https://github.com/nats-io/nats-server.git
embedded duckdb https://github.com/duckdb/duckdb.git
embedded lmdb https://github.com/LMDB/lmdb.git
embedded boltdb https://github.com/boltdb/bolt.git
embedded pklite https://github.com/nicholasgasior/pklite.git
extension arrow https://github.com/apache/arrow.git
extension datafusion https://github.com/apache/datafusion.git
extension velox https://github.com/facebookincubator/velox.git
extension lance https://github.com/lancedb/lance.git
extension hnswlib https://github.com/nmslib/hnswlib.git
benchmark tpch https://github.com/gregrahn/tpch-kit.git
benchmark tpcds https://github.com/gregrahn/tpcds-kit.git
benchmark db-bench https://github.com/nicholasgasior/db-bench.git
benchmark vectordbbench https://github.com/zilliztech/VectorDBBench.git
